text,label,score,all_labels,all_scores,text_short
"2023 N A C H H A LT I G K E I T S B E R I C H T Inhalt Navigationshilfe Kapitelverweise innerhalb des Nachhaltigkeitsberichts Verweise auf Websites 6 Vorwort 9 Über den Bericht 12 Nachhaltigkeit in der Unternehmens-DNA 13 Corporate Governance 17 Konzernstrategie NEW AUTO 22 ESG-Performance-Management und Wesentlichkeitsanalyse 25 Nachhaltigkeitsmanagement 27 Nachhaltigkeitswirkungen neuer Mobilitätsangebote 30 Stakeholder-Management 33 Umwelt-Compliance-Management 42 Risikomanagement 45 Corporate Citizenship Fokusthemen 1 Dekarbonisierung 48 Dekarbonisierung 69 EU-Taxonomie 2 Kreislaufwirtschaft 83 Kreislaufwirtschaft 3 Menschen in der Transformation 90 Menschen in der Transformation 4 Vielfalt 104 Vielfalt 5 Integrität und Compliance 109 Integrität und Compliance 6 Lieferkette und Menschenrechte 117 Lieferkette und Menschenrechte 131 Anhang 132 Vermerk des unabhängigen Wirtschaftsprüfers 135 Impressum 2 Nachhaltigkeits kommunikation des Volkswagen Konzerns 2023 G E S C H Ä F T S B E R I C H T 2023 N A C H H A LT I G K E I T S B E R I C H T Begleitende Informationen zur Berichterstattung ESG-Kennzahlen Indikatoren entlang unserer Fokusthemen sind in Excel übersichtlich dargestellt GRI-Index GRI-Inhaltsindex (unter Bezugnahme) SASB-Index Index Automobile Berichte zu Sonderthemen Responsible Raw Materials Report Fortschritte bei Transparenz und Risiko minderung in den Rohstofflieferketten (jährlich) Association Climate Review Report Übersicht zu klimapolitischen Positionen Green Finance Report Umsetzung nachhaltiger Finanzierungs strategien (jährlich) Weitere ESG-Themen Informationen zu weiteren Themen, die im Be reich Nachhaltigkeit und ESG von Bedeutung sind Informationen auf der Konzern-Website Policies Selbstverpflichtungen und Grundsätze, die konzernweit gelten ESG-Kontroversen Informationen zu aktuellen und laufenden Kontroversen in sachlicher Form Internationale Initiativen UN Sustainable Development Goals Aktivitäten und Projekte, die zur Erreichung der Nachhaltigkeitsziele beitragen (jährlich) UN Global Compact Umsetzung der zehn UN-Global-CompactPrinzipien (jährlich) CDP Score Report – Climate Change Bewertung der klimabezogenen Risiken, Ziele und Maßnahmen CDP Score Report – Water Security Bewertung im Bereich Wasserressourcen Nachhaltigkeit und ESG sind Teil der Konzernstrategie ESG-Performance ESG-Performance Ziel ist es, die Leistung in ESG-Ratings und -Rankings des Kapitalmarkts zu ver bessern, um die Investitionsfähigkeit zu steigern und Kapitalkosten zu optimieren.",fragwürdige Nachhaltigkeitsaussage,0.558354377746582,"['fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung', 'konkrete Maßnahme']","[0.558354377746582, 0.23390288650989532, 0.20774275064468384]",2023 N A C H H A LT I G K E I T S B E R I C H T Inhalt Navigationshilfe Kapitelverweise innerhalb des Nachhaltigkeitsberichts Verweise auf Websites 6 
"Auf unserem Weg vom Automobilhersteller zum Mobilitätskonzern ordnen wir mit der Konzernstrategie NEW AUTO unsere Prioritäten neu und stellen uns zukunftsgerichtet auf. Dabei behalten wir unser Ziel, ein weltweit führender Anbieter nachhaltiger Mobilität zu sein, fest im Blick und richten den Konzern fokussierter, effizienter, innovativer, kundennäher, nachhaltiger und konsequent auf profitables Wachstum aus.",konkrete Maßnahme,0.42983943223953247,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.42983943223953247, 0.2966957986354828, 0.27346473932266235]",Auf unserem Weg vom Automobilhersteller zum Mobilitätskonzern ordnen wir mit der Konzernstrategie NEW AUTO unsere Prioritäten neu und stellen uns zuku
Die Konzernstrategie NEW AUTO definiert für den Bereich Nachhaltigkeit und ESG in der Konzerninitiative 6 die sechs oben abgebildeten wesentlichen Fokusthemen. Nach diesen ist der vorliegende Nachhaltigkeitsbericht inklusive nichtfinanzieller Bericht strukturiert.,konkrete Maßnahme,0.6058422923088074,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.6058422923088074, 0.2396409660577774, 0.15451669692993164]",Die Konzernstrategie NEW AUTO definiert für den Bereich Nachhaltigkeit und ESG in der Konzerninitiative 6 die sechs oben abgebildeten wesentlichen Fok
"Darüber hinaus erfolgt im Kapitel „Nachhaltigkeit in der Unternehmens-DNA“ eine Definition von Nachhaltigkeit für das Unternehmen und ein Einblick in Themen wie Risikomanagement, Umweltmanagement, Stakeholder-Management und Corporate Citizenship.",konkrete Maßnahme,0.6817368268966675,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.6817368268966675, 0.23363067209720612, 0.0846325233578682]",Darüber hinaus erfolgt im Kapitel „Nachhaltigkeit in der Unternehmens-DNA“ eine Definition von Nachhaltigkeit für das Unternehmen und ein Einblick in 
"Nachhaltigkeit in der Unter nehmens-DNA Dekarbonisierung Kreislauf wirtschaft Menschen in der Transformation Vielfalt Integrität und Compliance Lieferkette und Menschenrechte Progressive Core Sport Luxury Trucks Architecture Software Battery, Charging & Energy Volkswagen Group Mobility 06 | ESG, Decarbonization and Integrity Highlights 20231 Dekarbonisierung Zugang zu 600.000 Ladepunkten in Europa Bis 2030 soll der CO2-Fußabdruck des gesamten Handelsnetzes um mindestens 30 % gesenkt werden.",fragwürdige Nachhaltigkeitsaussage,0.45029303431510925,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.45029303431510925, 0.3446248769760132, 0.20508207380771637]",Nachhaltigkeit in der Unter nehmens-DNA Dekarbonisierung Kreislauf wirtschaft Menschen in der Transformation Vielfalt Integrität und Compliance Liefer
Weltweit Frauenanteile im Management und Internationalität im Top-Management gesteigert 2023 wurden mehr als 4.100 Geschäftspartner geprüft. 1.551 Anfragen hat der Infopoint Compliance bearbeitet. Lieferkette und Menschenrechte Integrität und Compliance 7.791 direkte Lieferanten wurden weltweit zu Nachhaltigkeit geschult.,vage Behauptung,0.45046794414520264,"['vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme']","[0.45046794414520264, 0.33468547463417053, 0.21484659612178802]",Weltweit Frauenanteile im Management und Internationalität im Top-Management gesteigert 2023 wurden mehr als 4.100 Geschäftspartner geprüft. 1.551 Anf
"Und mit dieser Haltung schaffen wir nachhaltig langfristigen Mehrwert. Für unsere Belegschaft, unsere Kunden, unsere Investoren – und für unsere Gesellschaft im Ganzen. Als einer der weltweit größten Industriekonzerne tragen wir eine besondere Verantwortung. Wir können einen Unterschied machen. Diese Chance wollen und werden wir nutzen. Wir denken Nachhaltigkeit ganzheitlich – im Sinne der Natur, der Menschen, der Gesellschaft und des wertschaffenden Unternehmertums.",konkrete Maßnahme,0.42321962118148804,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.42321962118148804, 0.38252994418144226, 0.1942504495382309]","Und mit dieser Haltung schaffen wir nachhaltig langfristigen Mehrwert. Für unsere Belegschaft, unsere Kunden, unsere Investoren – und für unsere Gesel"
"Nachhaltigkeit als Strategie: klare Ziele, klare Verantwortung Nachhaltigkeit gehört bei uns zu den Top-Prioritäten. Als strategisches Feld setzen wir uns in der Nachhaltigkeit klare Ziele und Pläne – verbindlich und mit eindeutigen Verantwort lichkeiten. Der Fokus liegt dabei auf dem Umsetzen unserer strategischen Maßnahmen. Und auch hier nutzen wir die Synergien im Volkswagen Konzern: Alle Ziele werden systematisch auf die Marken und Konzern gesellschaften heruntergebrochen.",konkrete Maßnahme,0.574341356754303,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.574341356754303, 0.23426763713359833, 0.19139103591442108]","Nachhaltigkeit als Strategie: klare Ziele, klare Verantwortung Nachhaltigkeit gehört bei uns zu den Top-Prioritäten. Als strategisches Feld setzen wir"
"Es ist in der persönlichen Verantwortung des Managements, diese einzuhalten. Dekarbonisierung: Herzstück unseres Antriebs Der Volkswagen Konzern bekennt sich klar zur Elektromobi lität. Begeisternde Produktneuheiten in den vergangenen Wochen und Monaten – wie der Audi Q6 etron, der VW ID.7, der Porsche Macan electric oder der ID.Buzz mit langem Radstand – zeigen: Die E-Mobilität steht für Emotion und Faszination. Auch unsere Auslieferungszahlen bestätigen diesen Trend.",vage Behauptung,0.44107478857040405,"['vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme']","[0.44107478857040405, 0.43239495158195496, 0.12653031945228577]","Es ist in der persönlichen Verantwortung des Managements, diese einzuhalten. Dekarbonisierung: Herzstück unseres Antriebs Der Volkswagen Konzern beken"
"Oliver Blume, Vorstandsvorsitzender der Volkswagen AG Daniela Cavallo, Vorsitzende des Gesamt- und Konzernbetriebsrats der Volkswagen AG Inhalt Unternehmens-DNA | Dekarbonisierung | Kreislaufwirtschaft | Menschen in der Transformation | Vielfalt | Integrität und Compliance | Lieferkette und Menschenrechte Vorwort 7 Ein zentraler Hebel zur Reduktion von Emissionen ist die Produktion: Unser Ziel ist es, die produktionsbedingten CO2-Emissionen von Pkw und leichten Nutzfahrzeugen bis 2030 um 50,4 Prozent im Vergleich zum Basisjahr 2018 zu reduzieren.",konkrete Maßnahme,0.449057012796402,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.449057012796402, 0.3506947457790375, 0.20024821162223816]","Oliver Blume, Vorstandsvorsitzender der Volkswagen AG Daniela Cavallo, Vorsitzende des Gesamt- und Konzernbetriebsrats der Volkswagen AG Inhalt Untern"
