company,year,text,label,score,score_diff,all_labels,all_scores,text_short
BMWGroup,2023,EBIT-MARGE IM SEGMENT AUTOMOBILE in % ... Innerhalb des Korridors 8 bis 10%,konkrete Maßnahme,0.5399156808853149,0.2863675355911255,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.5399156808853149, 0.25354814529418945, 0.2065361589193344]",EBIT-MARGE IM SEGMENT AUTOMOBILE in % ... Innerhalb des Korridors 8 bis 10%
BMWGroup,2023,EBIT-MARGE IM SEGMENT MOTORRÄDER in % ... Innerhalb des Korridors 8 bis 10%,konkrete Maßnahme,0.8550532460212708,0.7650961577892303,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8550532460212708, 0.0899570882320404, 0.05498966947197914]",EBIT-MARGE IM SEGMENT MOTORRÄDER in % ... Innerhalb des Korridors 8 bis 10%
BMWGroup,2023,RoE IM SEGMENT FINANZDIENSTLEISTUNGEN in % ... Innerhalb des Korridors 17 bis 20%,konkrete Maßnahme,0.5874547362327576,0.37634848058223724,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.5874547362327576, 0.21110625565052032, 0.2014390081167221]",RoE IM SEGMENT FINANZDIENSTLEISTUNGEN in % ... Innerhalb des Korridors 17 bis 20%
BMWGroup,2023,Anteil von Frauen in Führungsfunktionen: 22%,unsicher,0.41547125577926636,0.04231718182563782,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.41547125577926636, 0.37315407395362854, 0.2113746553659439]",Anteil von Frauen in Führungsfunktionen: 22%
BMWGroup,2023,Anteil vollelektrischer Fahrzeuge an den Auslieferungen: ↑,unsicher,0.41637900471687317,0.0056539177894592285,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.41637900471687317, 0.41072508692741394, 0.1728959083557129]",Anteil vollelektrischer Fahrzeuge an den Auslieferungen: ↑
BMWGroup,2023,Reduzierung CO2-Emissionen je Fahrzeug in der Produktion: > 50% ↓,konkrete Maßnahme,0.8439208269119263,0.731149360537529,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.8439208269119263, 0.11277146637439728, 0.043307770043611526]",Reduzierung CO2-Emissionen je Fahrzeug in der Produktion: > 50% ↓
BMWGroup,2023,Reduzierung CO2-Emissionen in der Nutzungsphase des Fahrzeugs: > 80% ↓,konkrete Maßnahme,0.8480668067932129,0.7391891330480576,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.8480668067932129, 0.10887767374515533, 0.04305553063750267]",Reduzierung CO2-Emissionen in der Nutzungsphase des Fahrzeugs: > 80% ↓
BMWGroup,2023,Reduzierung CO2-Emissionen in der Lieferkette: > 20% ↓,konkrete Maßnahme,0.7705509066581726,0.6165814697742462,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7705509066581726, 0.1539694368839264, 0.07547969371080399]",Reduzierung CO2-Emissionen in der Lieferkette: > 20% ↓
BMWGroup,2023,* Dekarbonisierung entlang der Wertschöpfungskette,konkrete Maßnahme,0.7445154190063477,0.5170106142759323,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.7445154190063477, 0.22750480473041534, 0.027979819104075432]",* Dekarbonisierung entlang der Wertschöpfungskette
BMWGroup,2023,* Ressourcenmanagement nach dem Prinzip der Kreislaufwirtschaft,konkrete Maßnahme,0.9435739517211914,0.8986378684639931,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9435739517211914, 0.044936083257198334, 0.011489937081933022]",* Ressourcenmanagement nach dem Prinzip der Kreislaufwirtschaft
BMWGroup,2023,* Ressourceneffizienz,konkrete Maßnahme,0.9498023986816406,0.9083350524306297,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9498023986816406, 0.041467346251010895, 0.008730309084057808]",* Ressourceneffizienz
BMWGroup,2023,* erneuerbare Energien,konkrete Maßnahme,0.8044487833976746,0.6777710169553757,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.8044487833976746, 0.1266777664422989, 0.06887350231409073]",* erneuerbare Energien
BMWGroup,2023,ab 2024 gemäß der Corporate Sustainability Reporting Directive,konkrete Maßnahme,0.9316657781600952,0.8927580527961254,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9316657781600952, 0.0389077253639698, 0.029426513239741325]",ab 2024 gemäß der Corporate Sustainability Reporting Directive
BMWGroup,2023,"""Die BMW Group kann mit ihren Geschäftstätigkeiten einen direkten Beitrag zur Erreichung der Sustainable Development Goals (SDGs) leisten. Dies sind insbesondere SDG 3, 8, 9, 12 und 13.""",konkrete Maßnahme,0.9995411038398743,0.9991985132801346,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9995411038398743, 0.0003425905597396195, 0.00011633312533376738]","""Die BMW Group kann mit ihren Geschäftstätigkeiten einen direkten Beitrag zur Erreichung der Sustainable Development Goals (SDGs) leisten. Dies sind i"
