company,year,text,label,score,score_diff,all_labels,all_scores,text_short
VolkswagenGroup,2023,* Ziel: Dekarbonisierung (Kapitel 1),konkrete Maßnahme,0.8919456005096436,0.800582580268383,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8919456005096436, 0.09136302024126053, 0.016691332682967186]",* Ziel: Dekarbonisierung (Kapitel 1)
VolkswagenGroup,2023,* Ziel: Kreislaufwirtschaft (Kapitel 2),konkrete Maßnahme,0.968467652797699,0.9488908015191555,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.968467652797699, 0.019576851278543472, 0.011955409310758114]",* Ziel: Kreislaufwirtschaft (Kapitel 2)
VolkswagenGroup,2023,* Ziel: Menschen in der Transformation (Kapitel 3),konkrete Maßnahme,0.6417897343635559,0.37189021706581116,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6417897343635559, 0.26989951729774475, 0.08831077814102173]",* Ziel: Menschen in der Transformation (Kapitel 3)
VolkswagenGroup,2023,* Ziel: Vielfalt (Kapitel 4),unsicher,0.4830525517463684,0.05004703998565674,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4830525517463684, 0.43300551176071167, 0.08394195139408112]",* Ziel: Vielfalt (Kapitel 4)
VolkswagenGroup,2023,* Ziel: Integrität und Compliance (Kapitel 5),konkrete Maßnahme,0.6816204786300659,0.4679752290248871,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6816204786300659, 0.21364524960517883, 0.10473424941301346]",* Ziel: Integrität und Compliance (Kapitel 5)
VolkswagenGroup,2023,* Ziel: Lieferkette und Menschenrechte (Kapitel 6),konkrete Maßnahme,0.5761231184005737,0.24592900276184082,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5761231184005737, 0.3301941156387329, 0.09368284046649933]",* Ziel: Lieferkette und Menschenrechte (Kapitel 6)
VolkswagenGroup,2023,"* Ziel: Verbesserung der Leistung in ESG-Ratings und -Rankings des Kapitalmarkts, um die Investitionsfähigkeit zu steigern und Kapitalkosten zu optimieren.",konkrete Maßnahme,0.99824059009552,0.9967087004333735,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.99824059009552, 0.0015318896621465683, 0.00022747283219359815]","* Ziel: Verbesserung der Leistung in ESG-Ratings und -Rankings des Kapitalmarkts, um die Investitionsfähigkeit zu steigern und Kapitalkosten zu optimi"
VolkswagenGroup,2023,"""unser Ziel, ein weltweit führender Anbieter nachhaltiger Mobilität zu sein,""",konkrete Maßnahme,0.9907062649726868,0.9851937997154891,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.9907062649726868, 0.0055124652571976185, 0.003781265811994672]","""unser Ziel, ein weltweit führender Anbieter nachhaltiger Mobilität zu sein,"""
VolkswagenGroup,2023,* Zugang zu 600.000 Ladepunkten in Europa,unsicher,0.4247344434261322,0.015472769737243652,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.4247344434261322, 0.40926167368888855, 0.16600385308265686]",* Zugang zu 600.000 Ladepunkten in Europa
VolkswagenGroup,2023,* Der CO2-Fußabdruck des gesamten Handelsnetzes soll bis 2030 um mindestens 30 % gesenkt werden.,konkrete Maßnahme,0.8144739270210266,0.6952027454972267,"['konkrete Maßnahme', 'vage Behauptung', 'fragwürdige Nachhaltigkeitsaussage']","[0.8144739270210266, 0.1192711815237999, 0.0662548840045929]",* Der CO2-Fußabdruck des gesamten Handelsnetzes soll bis 2030 um mindestens 30 % gesenkt werden.
VolkswagenGroup,2023,* Mehr als 850.000 t CO2 wurden seit 2017 durch den AluminiumClosed-Loop bilanziell eingespart.,konkrete Maßnahme,0.5508711338043213,0.3118528574705124,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.5508711338043213, 0.2390182763338089, 0.21011053025722504]",* Mehr als 850.000 t CO2 wurden seit 2017 durch den AluminiumClosed-Loop bilanziell eingespart.
VolkswagenGroup,2023,"* 2023 haben wir 77.090 Werkzeuge bearbeitet, sodass sie für ihren erneuten Einsatz geeignet sind.",konkrete Maßnahme,0.6968480348587036,0.5074533820152283,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.6968480348587036, 0.18939465284347534, 0.11375731974840164]","* 2023 haben wir 77.090 Werkzeuge bearbeitet, sodass sie für ihren erneuten Einsatz geeignet sind."
VolkswagenGroup,2023,"* 14,3 Mio. Weiterbildungsstunden im Volkswagen Konzern",unsicher,0.49846288561820984,0.09003698825836182,"['fragwürdige Nachhaltigkeitsaussage', 'konkrete Maßnahme', 'vage Behauptung']","[0.49846288561820984, 0.408425897359848, 0.09311122447252274]","* 14,3 Mio. Weiterbildungsstunden im Volkswagen Konzern"
VolkswagenGroup,2023,* 72 Standorte des Volkswagen Konzerns sind nach ISO 45001 zertifiziert.,konkrete Maßnahme,0.7143548130989075,0.4990271329879761,"['konkrete Maßnahme', 'fragwürdige Nachhaltigkeitsaussage', 'vage Behauptung']","[0.7143548130989075, 0.2153276801109314, 0.07031747698783875]",* 72 Standorte des Volkswagen Konzerns sind nach ISO 45001 zertifiziert.
